relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
4007,-0.8451532125473022,2.6384103298187256,7.920019149780273,,358.8083740346615,41.027232376535935
4067,-2.7293899059295654,2.209848165512085,8.918401718139648,,46.3482088774133,40.90107958520225
4128,,,,1005.036376953125,,
4129,-2.4636335372924805,1.644816517829895,8.367734909057617,,274.5168630653538,41.82141880006698
4188,-2.6384103298187256,1.05105459690094,9.102754592895508,,239.6433515029944,43.06512220789871
4249,-2.073378562927246,0.5386953949928284,9.244012832641602,,249.0749958033249,44.36824596303906
4309,-2.5905263423919678,-0.47165772318840027,10.11789608001709,1005.0576171875,239.89564503055635,45.49507517941432
4367,,-0.871489405632019,,,,
4368,-1.7166426181793213,,9.871294021606445,,249.89752816431286,46.54298489809669
4428,,-1.0654197931289673,,,,
4429,-1.0773907899856567,,10.63743782043457,,257.7266256702508,47.506588095139556
4488,,,,1005.1044921875,,
4489,-0.29209262132644653,-1.0127472877502441,9.452308654785156,,263.42400064566027,47.6965273993717
4550,0.7350199222564697,-0.950498104095459,11.362881660461426,,271.2149720356512,47.94375348108047
4609,1.6424223184585571,-0.5363011956214905,10.6709566116333,,276.33585172435494,47.858266345083116
4670,,0.11013327538967133,10.278307914733887,1005.106689453125,,
4671,1.824381709098816,,,,284.4092719270934,46.72308944352378
4729,,1.4053963422775269,,,,
4730,1.9991583824157715,,8.473079681396484,,297.64926578408296,46.24018822167217
4790,1.7549498081207275,2.027888774871826,9.332598686218262,,305.13131796319794,44.69424071785839
4851,1.2665326595306396,2.6001031398773193,7.939172744750977,1005.08056640625,312.93455295784366,43.075069936078954
4910,0.4405331015586853,3.1052796840667725,9.181763648986816,,320.6922852322387,42.057216266744646
4970,-0.3471592366695404,3.2106244564056396,7.412448406219482,,331.3969299447925,41.18714627554037
5031,-2.0039467811584473,2.7078421115875244,8.054094314575195,1005.061767578125,353.7883963036796,40.648218257354884
5090,-2.7317841053009033,2.075772762298584,7.723694801330566,,24.694033264898735,40.4272662485466
5150,-2.8227639198303223,0.9864110946655273,7.726089000701904,,204.73690476845718,41.32013874545815
5211,-2.9951462745666504,-0.14365209639072418,9.35893440246582,1005.0615234375,216.71780789346826,42.33338916063512
5270,-2.3942017555236816,-0.8619126081466675,11.3269681930542,,233.86555788029722,43.721931179625386
5332,-1.7070658206939697,-0.4908113479614258,10.02452278137207,,249.20665452976607,45.6762776438597
5391,-0.6631938815116882,-1.139639973640442,10.565611839294434,1005.09375,254.15912907429396,46.79192148924364
5449,,-0.6320692300796509,,,,
5450,0.4357447028160095,,10.828974723815918,,267.51850780778614,47.07255104555297
5510,0.730231523513794,-0.6512228846549988,9.533711433410645,,270.9504797902316,47.64324729722087
5572,,-0.31364041566848755,,1005.112548828125,,
5631,,0.7422025203704834,,,,
5632,2.2912509441375732,,9.191340446472168,,287.00951811392804,46.516757499290875
