,name,price
163,해피닭가슴살볶음밥,"5,000"
164,쑥쑥치킨마요,"5,000"
165,마라치킨마요세트,"5,700"
166,마라치킨마요,"3,700"
167,메가불닭치킨 고로케,"8,200"
168,메가불닭참치 고로케,"8,200"
169,메가불닭치킨 케이준,"7,700"
170,메가불닭참치 케이준,"7,700"
171,불닭치킨 고로케세트,"5,300"
172,불닭참치 고로케세트,"5,300"
173,불닭치킨 케이준세트,"4,800"
174,불닭참치 케이준세트,"4,800"
175,메가불닭치킨마요,"6,400"
176,메가불닭참치마요,"6,400"
177,불닭치킨마요,"3,500"
178,불닭참치마요,"3,500"
179,피자불고기마요,"4,700"
180,피자치킨마요,"4,500"
181,갈비치킨마요,"3,200"
182,메가치킨마요,"5,200"
183,왕치킨마요,"4,200"
184,빅치킨마요,"3,500"
185,치킨마요,"2,900"
186,참치 샐러드마요,"3,400"
187,치킨 샐러드마요,"3,400"
188,참치마요,"2,900"
189,돈치마요,"3,500"
190,치즈 카레도시락,"4,000"
191,돈까스 카레,"3,900"
192,소불고기 철판볶음밥,"4,500"
193,한솥 철판볶음밥,"3,700"
194,소고기 육개장,"4,500"
195,묵은지 김치찌개,"4,300"
196,고추장숯불삼겹덮밥세트,"8,500"
197,고추장숯불삼겹덮밥,"6,500"
198,숯불직화구이 덮밥,"5,700"
199,숯불구이 덮밥 + 쌈채소,"6,700"
200,왕카레돈까스덮밥,"5,500"
201,새우돈까스 덮밥,"3,900"
202,돈까스 덮밥,"3,600"
203,치즈불닭비빔밥,"5,700"
204,불닭비빔밥,"4,500"
205,소불고기 감초고추장 비빔밥,"4,800"
206,시골제육 두부강된장 비빔밥,"4,800"
207,참치야채 감초고추장,"3,200"
208,튼튼도시락,"5,000"
209,해피닭가슴살볶음밥,"5,000"
210,쑥쑥치킨마요,"5,000"
211,마라치킨마요세트,"5,700"
212,마라치킨마요,"3,700"
213,메가불닭치킨 고로케,"8,200"
214,메가불닭참치 고로케,"8,200"
215,메가불닭치킨 케이준,"7,700"
216,메가불닭참치 케이준,"7,700"
217,불닭치킨 고로케세트,"5,300"
218,불닭참치 고로케세트,"5,300"
219,불닭치킨 케이준세트,"4,800"
220,불닭참치 케이준세트,"4,800"
221,메가불닭치킨마요,"6,400"
222,메가불닭참치마요,"6,400"
223,불닭치킨마요,"3,500"
224,불닭참치마요,"3,500"
225,피자불고기마요,"4,700"
226,피자치킨마요,"4,500"
227,갈비치킨마요,"3,200"
228,메가치킨마요,"5,200"
229,왕치킨마요,"4,200"
230,빅치킨마요,"3,500"
231,치킨마요,"2,900"
232,참치 샐러드마요,"3,400"
233,치킨 샐러드마요,"3,400"
234,참치마요,"2,900"
235,돈치마요,"3,500"
236,치즈 카레도시락,"4,000"
237,돈까스 카레,"3,900"
238,소불고기 철판볶음밥,"4,500"
239,한솥 철판볶음밥,"3,700"
240,소고기 육개장,"4,500"
241,묵은지 김치찌개,"4,300"
242,고추장숯불삼겹덮밥세트,"8,500"
243,고추장숯불삼겹덮밥,"6,500"
244,숯불직화구이 덮밥,"5,700"
245,숯불구이 덮밥 + 쌈채소,"6,700"
246,왕카레돈까스덮밥,"5,500"
247,새우돈까스 덮밥,"3,900"
248,돈까스 덮밥,"3,600"
249,치즈불닭비빔밥,"5,700"
250,불닭비빔밥,"4,500"
251,소불고기 감초고추장 비빔밥,"4,800"
252,시골제육 두부강된장 비빔밥,"4,800"
253,참치야채 감초고추장,"3,200"
254,튼튼도시락,"5,000"
255,해피닭가슴살볶음밥,"5,000"
256,쑥쑥치킨마요,"5,000"
257,마라치킨마요세트,"5,700"
258,마라치킨마요,"3,700"
259,메가불닭치킨 고로케,"8,200"
260,메가불닭참치 고로케,"8,200"
261,메가불닭치킨 케이준,"7,700"
262,메가불닭참치 케이준,"7,700"
263,불닭치킨 고로케세트,"5,300"
264,불닭참치 고로케세트,"5,300"
265,불닭치킨 케이준세트,"4,800"
266,불닭참치 케이준세트,"4,800"
267,메가불닭치킨마요,"6,400"
268,메가불닭참치마요,"6,400"
269,불닭치킨마요,"3,500"
270,불닭참치마요,"3,500"
271,피자불고기마요,"4,700"
272,피자치킨마요,"4,500"
273,갈비치킨마요,"3,200"
274,메가치킨마요,"5,200"
275,왕치킨마요,"4,200"
276,빅치킨마요,"3,500"
277,치킨마요,"2,900"
278,참치 샐러드마요,"3,400"
279,치킨 샐러드마요,"3,400"
280,참치마요,"2,900"
281,돈치마요,"3,500"
282,치즈 카레도시락,"4,000"
283,돈까스 카레,"3,900"
284,소불고기 철판볶음밥,"4,500"
285,한솥 철판볶음밥,"3,700"
286,소고기 육개장,"4,500"
287,묵은지 김치찌개,"4,300"
288,고추장숯불삼겹덮밥세트,"8,500"
289,고추장숯불삼겹덮밥,"6,500"
290,숯불직화구이 덮밥,"5,700"
291,숯불구이 덮밥 + 쌈채소,"6,700"
292,왕카레돈까스덮밥,"5,500"
293,새우돈까스 덮밥,"3,900"
294,돈까스 덮밥,"3,600"
295,치즈불닭비빔밥,"5,700"
296,불닭비빔밥,"4,500"
297,소불고기 감초고추장 비빔밥,"4,800"
298,시골제육 두부강된장 비빔밥,"4,800"
299,참치야채 감초고추장,"3,200"
300,튼튼도시락,"5,000"
301,해피닭가슴살볶음밥,"5,000"
302,쑥쑥치킨마요,"5,000"
303,마라치킨마요세트,"5,700"
304,마라치킨마요,"3,700"
305,메가불닭치킨 고로케,"8,200"
306,메가불닭참치 고로케,"8,200"
307,메가불닭치킨 케이준,"7,700"
308,메가불닭참치 케이준,"7,700"
309,불닭치킨 고로케세트,"5,300"
310,불닭참치 고로케세트,"5,300"
311,불닭치킨 케이준세트,"4,800"
312,불닭참치 케이준세트,"4,800"
313,메가불닭치킨마요,"6,400"
314,메가불닭참치마요,"6,400"
315,불닭치킨마요,"3,500"
316,불닭참치마요,"3,500"
317,피자불고기마요,"4,700"
318,피자치킨마요,"4,500"
319,갈비치킨마요,"3,200"
320,메가치킨마요,"5,200"
321,왕치킨마요,"4,200"
